Name,School,Description,Level
Acid Storm,Evocation,You evoke a storm of acid rain that pelts the area for the spell’s duration.,5
Banishment,Abjuration,Send a creature back to its home plane.,5
Blister,Necromancy,Grow large blisters on a creature and pop them to spray acid.,5
Chameleon Coat,Illusion,Camouflage creatures to match their environment.,5
Cloudkill,Necromancy,Poison creatures in a cloud that moves away from you.,5
Cone of Cold,Evocation,Bitter cold damages creatures in a cone.,5
Control Water,Evocation,Raise or lower water in a large area.,5
Death Ward,Abjuration,Protect a creature against negative energy.,5
Elemental Form,Transmutation,Turn into an elemental.,5
Grisly Growths,Transmutation,A creature grows excess limbs and organs-- sickening those who witness the transformation.,5
Impaling Spike,Conjuration,Skewer a creature with a cold iron spike.,5
Lightning Storm,Evocation,Create clouds and repeatedly call down lightning bolts.,5
Mariner's Curse,Necromancy,Infect a creature with the curse of the rolling sea.,5
Moon Frenzy,Transmutation,Give willing creatures fangs and claws-- and send them into a frenzy.,5
Passwall,Conjuration,Form an earthen tunnel through a wall.,5
Pillars of Sand,Conjuration,Create pillars of sand.,5
Plant Form,Transmutation,Turn into a dangerous plant creature.,5
Ravening Maw,Necromancy,You evoke Zevgavizeb’s unceasing hunger and inflict it upon your target.,5
Summon Giant,Conjuration,Conjure a giant to fight on your behalf.,5
Transmute Rock and Mud,Transmutation,Turn an area of rock into mud or vice versa.,5
Tree Stride,Conjuration,Teleport from tree to tree.,5
Wall of Flesh,Necromancy,Spawn a wall of living flesh.,5
Wall of Ice,Evocation,Sculpt a foot-thick wall of ice that blocks sight and can chill creatures.,5
Wall of Stone,Conjuration,Shape a wall of stone.,5
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,5
Aerial Form,Transmutation,Turn into a flying combatant.,5
Animal Form,Transmutation,Turn into a dangerous animal.,5
Burning Hands,Evocation,A small cone of flame rushes from your hands.,5
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,5
Continual Flame,Evocation,A magical flame burns indefinitely.,5
Crashing Wave,Evocation,Smash a cone of water against foes.,5
Creation,Conjuration,Make a temporary object.,5
Curse of Lost Time,Transmutation,Artificially erode or age a target.,5
Darkvision,Divination,See in the dark.,5
Dinosaur Form,Transmutation,Turn into a dinosaur.,5
Endure Elements,Abjuration,Protect a creature from severe cold or heat.,5
Enhance Victuals,Transmutation,Improve food or drink and remove poisons.,5
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,5
Final Sacrifice,Evocation,Channel energy to blow up your minion.,5
Fireball,Evocation,An explosion of fire in an area burns creatures.,5
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,5
Gentle Repose,Necromancy,A corpse doesn't decay and can't become undead.,5
Hallucinatory Terrain,Illusion,A natural environment appears to be another kind of terrain.,5
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,5
Heat Metal,Evocation,Make metal red hot.,5
Humanoid Form,Transmutation,Take the shape of a humanoid.,5
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,5
Hydraulic Torrent,Evocation,Force creatures back with a damaging line of water.,5
Insect Form,Transmutation,Turn into a dangerous giant insect.,5
Lightning Bolt,Evocation,Lightning strikes all creatures in a line.,5
Negate Aroma,Abjuration,Suppress a creature’s scent.,5
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,5
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,5
Phantom Steed,Conjuration,Conjure a magical horse.,5
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,5
Quench,Abjuration,Put out fires and hurt fire creatures.,5
Rime Slick,Evocation,You call down a chill wind.,5
Rusting Grasp,Transmutation,Rapidly rust metal.,5
Safe Passage,Abjuration,Make an area safe to move through.,5
Searing Light,Evocation,A ray of burning light deals extra damage to undead and counteracts darkness.,5
Shatter,Evocation,Shatter an object with a high-frequency sonic attack.,5
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,5
Shifting Sand,Transmutation,You cause the surface to heave.,5
Shocking Grasp,Evocation,Zap a creature with electricity.,5
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,5
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,5
Spider Climb,Transmutation,Give a creature a climb Speed.,5
Spike Stones,Conjuration,Grow sharp spikes out of the ground.,5
Sudden Blight,Necromancy,Decay living creatures and plants.,5
Sudden Bolt,Evocation,You call down a small bolt of lightning on the target,5
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,5
Summon Elemental,Conjuration,Conjure an elemental to fight on your behalf.,5
Summon Fey,Conjuration,Conjure a fey to fight on your behalf.,5
Summon Plant or Fungus,Conjuration,Conjure a plant or fungus to fight on your behalf.,5
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,5
Verdant Sprout,Conjuration,You imbue a single ordinary-- inexpensive plant seed with primal energy and throw it onto a surface-- where it gradually sprouts into a Medium plant.,5
Vital Beacon,Necromancy,Radiate vitality that heals creatures that touch you.,5
Vomit Swarm,Evocation,Vermin erupt in a cone from your mouth-- biting and stinging creatures.,5
Wall of Fire,Evocation,Create a blazing wall burns creatures that pass through.,5
Wall of Thorns,Conjuration,Grow a wall of brambles.,5
Weapon Storm,Evocation,Multiply a weapon you hold and attack many creatures with it.,5
Baleful Polymorph,Transmutation,Transform a creature into a harmless animal.,6
Blanket of Stars,Illusion,A cloak of darkness hides you in the dark and dazzles those who get too close.,6
Blinding Fury,Enchantment,Curse a creature that attacks you-- making its victims become invisible to it.,6
Chain Lightning,Evocation,Lightning jumps from creature to creature.,6
Dragon Form,Transmutation,Turn into a dragon.,6
Field of Life,Necromancy,Create a positive energy field that heals those within.,6
Fire Seeds,Evocation,Make four explosive acorns.,6
Flesh to Stone,Transmutation,Turn a living creature into a stone statue.,6
Halcyon Infusion,Divination,HR You infuse magical energy into your target-- opening up their mind to the pathways of magic and granting them the ability to use magic to affect the world around them.,6
Purple Worm Sting,Necromancy,Damage a creature and infect it with purple worm venom.,6
Scintillating Safeguard,Abjuration,Reactively protect multiple creatures from harm with a magic barrier.,6
Stone Tell,Evocation,Speak to spirits within natural stone.,6
Stone to Flesh,Transmutation,Turn a creature turned to stone back to flesh.,6
Tangling Creepers,Conjuration,Entangle creatures in a burst and concentrate to lash out with immobilizing vines.,6
True Seeing,Divination,See through illusions and transmutations.,6
Acid Arrow,Evocation,Magical arrow deals acid damage persistently.,6
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,6
Aerial Form,Transmutation,Turn into a flying combatant.,6
Barkskin,Abjuration,Target's skin is covered in protective bark.,6
Blister,Necromancy,Grow large blisters on a creature and pop them to spray acid.,6
Burning Hands,Evocation,A small cone of flame rushes from your hands.,6
Chameleon Coat,Illusion,Camouflage creatures to match their environment.,6
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,6
Cloudkill,Necromancy,Poison creatures in a cloud that moves away from you.,6
Cone of Cold,Evocation,Bitter cold damages creatures in a cone.,6
Continual Flame,Evocation,A magical flame burns indefinitely.,6
Crashing Wave,Evocation,Smash a cone of water against foes.,6
Create Food,Conjuration,Conjure food that can feed multiple creatures.,6
Cup of Dust,Necromancy,You curse the target with a thirst no drink can quench.,6
Curse of Lost Time,Transmutation,Artificially erode or age a target.,6
Dismantle,Transmutation,Temporarily disassemble an object into its components.,6
Elemental Form,Transmutation,Turn into an elemental.,6
Enhance Victuals,Transmutation,Improve food or drink and remove poisons.,6
Enlarge,Transmutation,A creature grows in size.,6
Expeditious Excavation,Transmutation,You remove loose dirt-- dust-- gravel-- sand-- and the like from the area.,6
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,6
Feet to Fins,Transmutation,Turn a creature's feet into fins-- enabling it swim but slowing it on land.,6
Final Sacrifice,Evocation,Channel energy to blow up your minion.,6
Fire Shield,Evocation,Flames protect you from cold and harm those that touch you.,6
Fireball,Evocation,An explosion of fire in an area burns creatures.,6
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,6
Fungal Hyphae,Necromancy,Thin hyphae grow from your feet and plunge into the earth.,6
Fungal Infestation,Conjuration,Plant poisonous fungal growths in a creature.,6
Grisly Growths,Transmutation,A creature grows excess limbs and organs-- sickening those who witness the transformation.,6
Heal,Necromancy,Positive energy heals the living or harms the undead-- either a single creature or all in a burst.,6
Heat Metal,Evocation,Make metal red hot.,6
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,6
Hydraulic Torrent,Evocation,Force creatures back with a damaging line of water.,6
Ice Storm,Evocation,Call a storm cloud that pelts creatures with hail.,6
Impaling Spike,Conjuration,Skewer a creature with a cold iron spike.,6
Lightning Bolt,Evocation,Lightning strikes all creatures in a line.,6
Lightning Storm,Evocation,Create clouds and repeatedly call down lightning bolts.,6
Moon Frenzy,Transmutation,Give willing creatures fangs and claws-- and send them into a frenzy.,6
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,6
