Name,School,Description,Level
Gust of Wind,Evocation,Wind blows out fires and knocks back objects and creatures.,1
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,1
Illusory Disguise,Illusion,Make yourself look like a different creature.,1
Illusory Object,Illusion,Form a convincing illusion of an object.,1
Invisible Item,Illusion,Make an item disappear from view.,1
Item Facade,Illusion,Disguise an item to look perfect or shoddy.,1
Jump,Transmutation,Make an impressive leap.,1
Lock,Abjuration,Make a lock hard to open.,1
Longstrider,Transmutation,Increase your Speed for an hour.,1
Mage Armor,Abjuration,Ward yourself with magical armor.,1
Magic Aura,Illusion,Change how an item's magic appears to detecting spells.,1
Magic Missile,Evocation,Pelt creatures with unerring bolts of magical force.,1
Magic Weapon,Transmutation,Make a weapon temporarily magical.,1
Mending,Transmutation,Repair one non-magical item.,1
Message Rune,Divination,You record a message up to 5 minutes long and inscribe a special rune on any flat unattended surface within reach.,1
Negate Aroma,Abjuration,Suppress a creature’s scent.,1
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,1
Penumbral Shroud,Evocation,You envelop the target in a shroud of shadow.,1
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,1
Pest Form,Transmutation,Turn into a nonthreatening animal.,1
Pet Cache,Conjuration,Hide a familiar or animal companion in a pocket dimension.,1
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,1
Ray of Enfeeblement,Necromancy,Sap a creature's strength.,1
Scouring Sand,Evocation,You blast the area with grit that scours away soil and gets into creatures’ eyes.,1
Share Lore,Divination,You share your knowledge with the touched creatures.,1
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,1
Shocking Grasp,Evocation,Zap a creature with electricity.,1
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,1
Sleep,Enchantment,Cause creatures in a small area to fall asleep.,1
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,1
Spider Sting,Necromancy,Damage a creature and afflict it with spider venom.,1
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,1
Summon Construct,Conjuration,Conjure a construct to fight on your behalf.,1
Temporary Tool,Conjuration,You conjure a temporary simple tool-- such as a shovel or rope into your hands.,1
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,1
Thoughtful Gift,Conjuration,Teleport an item to an ally's grasp.,1
True Strike,Divination,Make your next attack especially accurate.,1
Unseen Servant,Conjuration,Create an invisible creature to help you.,1
Ventriloquism,Illusion,Throw your voice.,1
Acid Arrow,Evocation,Magical arrow deals acid damage persistently.,2
Animated Assault,Evocation,Temporarily animate small objects to attack creatures in an area.,2
Blood Vendetta,Necromancy,Cause a creature that attacks you to start bleeding.,2
Blur,Illusion,Cause a target's form to become blurry and hard to hit.,2
Charitable Urge,Enchantment,Make a creature give away an object in its possession.,2
Comprehend Language,Divination,A creature understands one language.,2
Continual Flame,Evocation,A magical flame burns indefinitely.,2
Create Food,Conjuration,Conjure food that can feed multiple creatures.,2
Darkness,Evocation,Suppress all light in an area.,2
Darkvision,Divination,See in the dark.,2
Deafness,Necromancy,Make a creature deaf.,2
Dismantle,Transmutation,Temporarily disassemble an object into its components.,2
Dispel Magic,Abjuration,End a spell or suppress an item's magic.,2
Endure Elements,Abjuration,Protect a creature from severe cold or heat.,2
Enlarge,Transmutation,A creature grows in size.,2
Expeditious Excavation,Transmutation,You remove loose dirt-- dust-- gravel-- sand-- and the like from the area.,2
False Life,Necromancy,Gain temporary HP.,2
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,2
Final Sacrifice,Evocation,Channel energy to blow up your minion.,2
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,2
Gentle Repose,Necromancy,A corpse doesn't decay and can't become undead.,2
Glitterdust,Evocation,Sparkling dust breaks invisibility and impedes vision.,2
Heat Metal,Evocation,Make metal red hot.,2
Hideous Laughter,Enchantment,Fits of laughter make a creature unable to take all its actions.,2
Humanoid Form,Transmutation,Take the shape of a humanoid.,2
Illusory Creature,Illusion,Form a convincing illusion of a creature.,2
Invisibility,Illusion,A creature can’t be seen until it attacks.,2
Iron Gut,Transmutation,Your mouth-- esophagus-- and stomach become incredibly elastic and tougher than metal.,2
Knock,Transmutation,Make a door-- lock-- or container easier to open-- and possibly open it immediately.,2
Magic Mouth,Illusion,Make an illusory mouth appear to speak a message.,2
Mirror Image,Illusion,Illusory duplicates of you cause attacks to miss.,2
Misdirection,Illusion, Cause one creature’s auras to appear to be another’s.,2
Obscuring Mist,Conjuration, Conceal creatures in a cloud of mist.,2
Phantasmal Treasure,Illusion, Tempt a creature with an illusory reward.,2
Phantom Steed,Conjuration,Conjure a magical horse.,2
Resist Energy,Abjuration,Protect a creature from one type of energy damage.,2
Rime Slick,Evocation,You call down a chill wind.,2
Sea Surge,Evocation,SYou slap or stomp on a nearby solid or liquid surface-- sending a surge of water rushing away from you.,2
See Invisibility,Divination,See invisible creatures and objects.,2
Shrink,Transmutation,Reduce a willing creature to Tiny size.,2
Slough Skin,Necromancy, You continually and harmlessly slough off the top layer of your skin while new skin regenerates immediately.,2
Spectral Hand,Necromancy, Create a semicorporeal hand that touches creatures to target them with your spells.,2
Spider Climb,Transmutation,Give a creature a climb Speed.,2
Sudden Bolt,Evocation,You call down a small bolt of lightning on the target,2
Summon Elemental,Conjuration,Conjure an elemental to fight on your behalf.,2
Telekinetic Maneuver,Evocation, Disarm-- Shove-- or Trip a creature telekinetically.,2
Touch of Idiocy,Enchantment, Dull a target's mind with a touch.,2
Vomit Swarm,Evocation,Vermin erupt in a cone from your mouth-- biting and stinging creatures.,2
Water Breathing,Transmutation,Allow creatures to breathe underwater.,2
Water Walk,Transmutation,Buoy a creature so it can walk on water.,2
Web,Conjuration,Form a web that keeps creatures from moving.,2
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,2
Admonishing Ray,Necromancy,A ray of energy bludgeons your target into submission without causing lasting harm.,2
Agitate,Enchantment,You send the target’s mind and body into overdrive-- forcing it to become restless and hyperactive.,2
Animate Dead,Necromancy,Animate an undead creature to fight on your behalf.,2
Burning Hands,Evocation,A small cone of flame rushes from your hands.,2
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,2
Endure,Enchantment,You invigorate the touched creature’s mind and urge it to press on.,2
Grim Tendrils,Necromancy,Creatures in a line take negative damage and bleed.,2
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,2
Illusory Disguise,Illusion,Make yourself look like a different creature.,2
Illusory Object,Illusion,Form a convincing illusion of an object.,2
Item Facade,Illusion,Disguise an item to look perfect or shoddy.,2
Lock,Abjuration,Make a lock hard to open.,2
Longstrider,Transmutation,Increase your Speed for an hour.,2
Mending,Transmutation,Repair one non-magical item.,2
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,2
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,2
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,2
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,2
Shocking Grasp,Evocation,Zap a creature with electricity.,2
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,2
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,2
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,2
Summon Construct,Conjuration,Conjure a construct to fight on your behalf.,2
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,2
Ventriloquism,Illusion,Throw your voice.,2
Agonizing Despair,Enchantment,Mentally damage and frighten a creature.,3
Aqueous Orb,Conjuration, Roll a ball of water to put out fires and engulf creatures.,3
Bind Undead,Necromancy, Take control of a mindless undead.,3
Blindness,Necromancy, Strike a target blind.,3
Clairaudience,Divination, Hear through an invisible magical sensor.,3
Cozy Cabin,Conjuration, Conjure a temporary cabin sheltered from the elements.,3
Crashing Wave,Evocation,Smash a cone of water against foes.,3
Cup of Dust,Necromancy,You curse the target with a thirst no drink can quench.,3
Curse of Lost Time,Transmutation,Artificially erode or age a target.,3
Dream Message,Enchantment,Send a message that arrives in a dream.,3
Earthbind,Transmutation, Bring a flying creature to the ground.,3
Enthrall,Enchantment, Your speech makes creatures fascinated with you.,3
Familiar's Face,Divination, Implant your senses in your animal companion or familiar.,3
Feet to Fins,Transmutation,Turn a creature's feet into fins-- enabling it swim but slowing it on land.,3
Fireball,Evocation,An explosion of fire in an area burns creatures.,3
Ghostly Weapon,Transmutation, Make a weapon affect incorporeal creatures.,3
Glyph of Warding,Abjuration, Store a spell in a symbol to make a trap.,3
Gravity Well,Evocation, You create a sphere of altered gravity.,3
Haste,Transmutation,Speed up a creature so it can attack or move more often.,3
Hypnotic Pattern,Illusion, Shifting colors dazzle and fascinate creatures.,3
Invisibility Sphere,Illusion,You and creatures near you become invisible as you explore.,3
Levitate,Evocation, Float an object or creature a few feet of the ground.,3
Lightning Bolt,Evocation,Lightning strikes all creatures in a line.,3
Locate,Divination,HLearn the direction to an object.,3
Magical Fetters,Conjuration,SGhostly manacles launch from your outstretched hand and clasp around the target's limbs-- impeding its movements.,3
Meld into Stone,Transmutation, Meld into a block of stone.,3
Mind Reading,Divination,Read a creature's surface thoughts.,3
Nondetection,Abjuration,Protect a creature or object from detection.,3
Paralyze,Enchantment,Freeze a humanoid in place.,3
Pillar of Water,Evocation,SYou create a large-- self-contained cylinder of still fresh water,3
Pyrotechnics,Transmutation,SYou turn a fire into either a burst of blinding fireworks or a thick cloud of choking smoke,3
Safe Passage,Abjuration,Make an area safe to move through.,3
Secret Page,Illusion, Alter the appearance of a page.,3
Shifting Sand,Transmutation,You cause the surface to heave.,3
Shrink Item,Transmutation, Reduce an object to the size of a coin.,3
Slow,Transmutation,Make a creature slower-- reducing its actions.,3
Stinking Cloud,Conjuration, Form a cloud that sickens creatures.,3
Unseasonable Squall,Evocation,SYou issue a blast of sudden wind that ripples outward from the center of the burst.,3
Vampiric Touch,Necromancy,Deal negative damage and gain temporary HP with a touch.,3
Wall of Wind,Evocation, Create a wall of gusting winds that hinders movement and ranged attacks.,3
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,3
Admonishing Ray,Necromancy,A ray of energy bludgeons your target into submission without causing lasting harm.,3
Agitate,Enchantment,You send the target’s mind and body into overdrive-- forcing it to become restless and hyperactive.,3
Alarm,Abjuration,Be alerted if a creature enters a warded area.,3
Animate Dead,Necromancy,Animate an undead creature to fight on your behalf.,3
Animate Rope,Transmutation,Command a rope to move and tie as you wish.,3
Anticipate Peril,Divination,You grant the target brief foresight.,3
Burning Hands,Evocation,A small cone of flame rushes from your hands.,3
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,3
Comprehend Language,Divination,A creature understands one language.,3
Continual Flame,Evocation,A magical flame burns indefinitely.,3
Darkvision,Divination,See in the dark.,3
Endure,Enchantment,You invigorate the touched creature’s mind and urge it to press on.,3
Endure Elements,Abjuration,Protect a creature from severe cold or heat.,3
False Life,Necromancy,Gain temporary HP.,3
Fear,Enchantment,Frighten a creature-- possibly making it flee.,3
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,3
Final Sacrifice,Evocation,Channel energy to blow up your minion.,3
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,3
Grim Tendrils,Necromancy,Creatures in a line take negative damage and bleed.,3
Heat Metal,Evocation,Make metal red hot.,3
Humanoid Form,Transmutation,Take the shape of a humanoid.,3
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,3
Illusory Creature,Illusion,Form a convincing illusion of a creature.,3
Illusory Disguise,Illusion,Make yourself look like a different creature.,3
Invisible Item,Illusion,Make an item disappear from view.,3
Iron Gut,Transmutation,Your mouth-- esophagus-- and stomach become incredibly elastic and tougher than metal.,3
Item Facade,Illusion,Disguise an item to look perfect or shoddy.,3
Jump,Transmutation,Make an impressive leap.,3
Magic Aura,Illusion,HChange how an item's magic appears to detecting spells.,3
Magic Missile,Evocation,Pelt creatures with unerring bolts of magical force.,3
Mending,Transmutation,Repair one non-magical item.,3
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,3
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,3
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,3
Scouring Sand,Evocation,You blast the area with grit that scours away soil and gets into creatures’ eyes.,3
Share Lore,Divination,You share your knowledge with the touched creatures.,3
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,3
Shocking Grasp,Evocation,Zap a creature with electricity.,3
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,3
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,3
Sudden Bolt,Evocation,You call down a small bolt of lightning on the target,3
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,3
Summon Construct,Conjuration,Conjure a construct to fight on your behalf.,3
Summon Elemental,Conjuration,Conjure an elemental to fight on your behalf.,3
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,3
Thoughtful Gift,Conjuration,Teleport an item to an ally's grasp.,3
Vomit Swarm,Evocation,Vermin erupt in a cone from your mouth-- biting and stinging creatures.,3
Water Breathing,Transmutation,Allow creatures to breathe underwater.,3
Aerial Form,Transmutation,Turn into a flying combatant.,4
Aromatic Lure,Enchantment,You override a target's olfactory senses-- luring them to a specific location through tantalizing false scents.,4
Bestial Curse,Transmutation, Make a humanoid take on features of a beast.,4
Blink,Conjuration,Flit between the planes-- vanishing and reappearing.,4
Clairvoyance,Divination, See through an invisible magical sensor.,4
Clownish Curse,Enchantment,SYou afflict the target with a curse that causes it to emit ridiculous noises as it moves.,4
Confusion,Enchantment,Befuddle a creature-- making it act randomly.,4
Countless Eyes,Divination, Cause magical eyes to appear all over a creature's body.,4
Creation,Conjuration,Make a temporary object.,4
Detect Scrying,Divination,HFind out if scrying effects are in the area.,4
Dimension Door,Conjuration,Teleport yourself up to 120 feet.,4
Dimensional Anchor,Abjuration, Keep a creature from teleporting or traveling to other planes.,4
Discern Lies,Divination,Expertly detect lies and falsehoods.,4
Dull Ambition,Enchantment, Curse a creature with an unfortunate lack of ambition.,4
Enervation,Necromancy,Drain a creature's vigor.,4
Favorable Review,Enchantment,You enchant a creature to ensure they have only good things to say about your show.,4
Fire Shield,Evocation,Flames protect you from cold and harm those that touch you.,4
Fly,Transmutation,Cause the target creature to gain a fly Speed.,4
Forgotten Lines,Divination,HRS Restore destroyed or censored text.,4
Freedom of Movement,Abjuration, A creature overcomes hindrances to its movement.,4
Gaseous Form,Transmutation, Turn a willing creature into a flying cloud.,4
Globe of Invulnerability,Abjuration,Magical sphere counteracts spells that would enter it.,4
Hallucinatory Terrain,Illusion,natural environment appears to be another kind of terrain.,4
Ice Storm,Evocation,Call a storm cloud that pelts creatures with hail.,4
Necrotic Radiation,Necromancy,You imbue the touched object or space with slow-acting necrotic radiation.,4
Nightmare,Illusion, Plague a creature's dreams with disturbing nightmares.,4
Outcast's Curse,Enchantment, Curse a creature to be off-putting and grating.,4
Phantasmal Killer,Illusion,Place a fearsome image in a creature's mind to scare and possibly kill it.,4
Private Sanctum,Abjuration,Black fog prevents sensing-- scrying-- and mind-reading on anyone within.,4
Rebounding Barrier,Abjuration,You swiftly raise a reflective barrier-- reducing physical damage and rebounding it onto your attacker.,4
Reflective Scales,Abjuration,You grow a set of colored glowing scales or scaled armor that stores energy before releasing it in a final burst.,4
Resilient Sphere,Abjuration, Create a sphere of force that blocks anything that would come through.,4
Rope Trick,Conjuration,Animate a rope that rises to an extradimensional hiding place.,4
Seal Fate,Necromancy,Curse a creature to be harmed by a certain type of damage.,4
Shape Stone,Transmutation, Reshape a cube of stone.,4
Solid Fog,Conjuration, Conjure heavy fog that obscures sight and is hard to move through.,4
Spell Immunity,Abjuration, Name a spell to negate its effects on you.,4
Stoneskin,Abjuration,Harden a creature's skin into durable stone.,4
Suggestion,Enchantment,Suggest a course of action a creature must follow.,4
Telepathy,Divination,Communicate telepathically with any creatures near you.,4
Vampiric Maiden,Necromancy,A ghostly iron maiden harms a creature and transfers its vitality to you.,4
Veil,Illusion,Disguise many creatures as other creatures.,4
Wall of Fire,Evocation,Create a blazing wall burns creatures that pass through.,4
Weapon Storm,Evocation,Multiply a weapon you hold and attack many creatures with it.,4
Acid Arrow,Evocation,Magical arrow deals acid damage persistently.,4
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,4
Admonishing Ray,Necromancy,A ray of energy bludgeons your target into submission without causing lasting harm.,4
Agitate,Enchantment,You send the target’s mind and body into overdrive-- forcing it to become restless and hyperactive.,4
Agonizing Despair,Enchantment,Mentally damage and frighten a creature.,4
Animate Dead,Necromancy,Animate an undead creature to fight on your behalf.,4
Animated Assault,Evocation,Temporarily animate small objects to attack creatures in an area.,4
Blood Vendetta,Necromancy,Cause a creature that attacks you to start bleeding.,4
Burning Hands,Evocation,A small cone of flame rushes from your hands.,4
Charm,Enchantment,A humanoid becomes more friendly to you.,4
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,4
Comprehend Language,Divination,A creature understands one language.,4
Continual Flame,Evocation,A magical flame burns indefinitely.,4
Crashing Wave,Evocation,Smash a cone of water against foes.,4
Create Food,Conjuration,Conjure food that can feed multiple creatures.,4
Curse of Lost Time,Transmutation,Artificially erode or age a target.,4
Darkness,Evocation,Suppress all light in an area.,4
Dismantle,Transmutation,Temporarily disassemble an object into its components.,4
Dream Message,Enchantment,Send a message that arrives in a dream.,4
Endure,Enchantment,You invigorate the touched creature’s mind and urge it to press on.,4
Enlarge,Transmutation,A creature grows in size.,4
Expeditious Excavation,Transmutation,You remove loose dirt-- dust-- gravel-- sand-- and the like from the area.,4
False Life,Necromancy,Gain temporary HP.,4
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,4
Final Sacrifice,Evocation,Channel energy to blow up your minion.,4
Fireball,Evocation,An explosion of fire in an area burns creatures.,4
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,4
Grim Tendrils,Necromancy,Creatures in a line take negative damage and bleed.,4
Heat Metal,Evocation,Make metal red hot.,4
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,4
Illusory Creature,Illusion,Form a convincing illusion of a creature.,4
Invisibility,Illusion,A creature can’t be seen until it attacks.,4
Lightning Bolt,Evocation,Lightning strikes all creatures in a line.,4
Mage Armor,Abjuration,Ward yourself with magical armor.,4
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,4
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,4
Pest Form,Transmutation,Turn into a nonthreatening animal.,4
Phantom Steed,Conjuration,Conjure a magical horse.,4
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,4
Resist Energy,Abjuration,Protect a creature from one type of energy damage.,4
Shattering Gem,Abjuration,A large gem floats around the target in an erratic pattern.,4
Shocking Grasp,Evocation,Zap a creature with electricity.,4
Shockwave,Evocation,You create a wave of energy that ripples through the earth.,4
Sleep,Enchantment,Cause creatures in a small area to fall asleep.,4
Snowball,Evocation,You throw a magically propelled and chilled ball of dense snow.,4
Sudden Bolt,Evocation,You call down a small bolt of lightning on the target,4
Summon Animal,Conjuration,Conjure an animal to fight on your behalf.,4
Summon Construct,Conjuration,Conjure a construct to fight on your behalf.,4
Summon Elemental,Conjuration,Conjure an elemental to fight on your behalf.,4
Tether,Abjuration,You use magical chains-- vines-- or other tethers to bind your target to you.,4
Vampiric Touch,Necromancy,Deal negative damage and gain temporary HP with a touch.,4
Vomit Swarm,Evocation,Vermin erupt in a cone from your mouth-- biting and stinging creatures.,4
Water Breathing,Transmutation,Allow creatures to breathe underwater.,4
Water Walk,Transmutation,Buoy a creature so it can walk on water.,4
Web,Conjuration,Form a web that keeps creatures from moving.,4
Acid Storm,Evocation,You evoke a storm of acid rain that pelts the area for the spell’s duration.,5
Banishment,Abjuration,Send a creature back to its home plane.,5
Black Tentacles,Conjuration, Tentacles in an area grab creatures.,5
Blister,Necromancy,Grow large blisters on a creature and pop them to spray acid.,5
Blood Feast,Necromancy,Your head splits vertically into an enormous maw-- which feasts upon the target's blood.,5
Chromatic Wall,Abjuration,A wall of light offers a unique protection based on its color.,5
Cloak of Colors,Illusion, Bright colors dazzle creatures near the target-- and attacks cause blinding flashes of light.,5
Cloudkill,Necromancy,Poison creatures in a cloud that moves away from you.,5
Cone of Cold,Evocation,Bitter cold damages creatures in a cone.,5
Control Water,Evocation, Raise or lower water in a large area.,5
Crushing Despair,Enchantment,Make a creature sob uncontrollably.,5
Drop Dead,Illusion,HThe target appears to die but actually turns invisible.,5
Elemental Form,Transmutation,Turn into an elemental.,5
False Vision,Illusion,Trick a scrying spell.,5
Grisly Growths,Transmutation,A creature grows excess limbs and organs-- sickening those who witness the transformation.,5
Hallucination,Illusion,A creature believes one thing is another-- can’t detect something-- or sees something that’s not really there.,5
Illusory Scene,Illusion,Create an imaginary scene containing multiple creatures and objects.,5
Impaling Spike,Conjuration,Skewer a creature with a cold iron spike.,5
Mariner's Curse,Necromancy, Infect a creature with the curse of the rolling sea.,5
Mind Probe,Divination,Uncover knowledge and memories in a creature's mind.,5
Passwall,Conjuration,HForm an earthen tunnel through a wall.,5
Pillars of Sand,Conjuration,Create pillars of sand.,5
Prying Eye,Divination, An invisible eye transmits what it sees to you.,5
Secret Chest,Conjuration, Hide a container on the Ethereal Plane.,5
Sending,Divination, Send a mental message to a creature anywhere on the planet and get a reply.,5
Shadow Siphon,Illusion, React to lessen the damage from an enemy's spell by making it partially illusion.,5
Shadow Walk,Conjuration,Travel rapidly via the Shadow Plane.,5
Subconscious Suggestion,Enchantment,Plant a mental suggestion that must be followed when a trigger occurs.,5
Summon Dragon,Conjuration,Conjure a dragon to fight on your behalf.,5
Telekinetic Haul,Evocation, Move a large object.,5
Telepathic Bond,Divination,Link minds with willing creatures to communicate telepathically at great distances.,5
Tongues,Divination,HLet a creature understand and speak all languages.,5
Transmute Rock and Mud,Transmutation,Turn an area of rock into mud or vice versa.,5
Wall of Ice,Evocation,Sculpt a foot-thick wall of ice that blocks sight and can chill creatures.,5
Wall of Stone,Conjuration,Shape a wall of stone.,5
Acidic Burst,Evocation,You create a shell of acid around yourself that immediately bursts outward.,5
Admonishing Ray,Necromancy,A ray of energy bludgeons your target into submission without causing lasting harm.,5
Aerial Form,Transmutation,Turn into a flying combatant.,5
Agitate,Enchantment,You send the target’s mind and body into overdrive-- forcing it to become restless and hyperactive.,5
Agonizing Despair,Enchantment,Mentally damage and frighten a creature.,5
Animate Dead,Necromancy,Animate an undead creature to fight on your behalf.,5
Animate Rope,Transmutation,Command a rope to move and tie as you wish.,5
Anticipate Peril,Divination,You grant the target brief foresight.,5
Burning Hands,Evocation,A small cone of flame rushes from your hands.,5
Chilling Spray,Evocation,Icy shards fly out from you in a cone.,5
Command,Enchantment,Bid a creature to approach-- run-- release something-- lie prone-- or stand up.,5
Continual Flame,Evocation,A magical flame burns indefinitely.,5
Crashing Wave,Evocation,Smash a cone of water against foes.,5
Creation,Conjuration,Make a temporary object.,5
Curse of Lost Time,Transmutation,Artificially erode or age a target.,5
Darkvision,Divination,See in the dark.,5
Dimension Door,Conjuration,Teleport yourself up to 120 feet.,5
Endure,Enchantment,You invigorate the touched creature’s mind and urge it to press on.,5
Endure Elements,Abjuration,Protect a creature from severe cold or heat.,5
False Life,Necromancy,Gain temporary HP.,5
Feast of Ashes,Necromancy,You curse the target with a hunger no food can sate.,5
Final Sacrifice,Evocation,Channel energy to blow up your minion.,5
Fireball,Evocation,An explosion of fire in an area burns creatures.,5
Flaming Sphere,Evocation,A ball of fire rolls about at your command.,5
Gentle Repose,Necromancy,A corpse doesn't decay and can't become undead.,5
Grim Tendrils,Necromancy,Creatures in a line take negative damage and bleed.,5
Hallucinatory Terrain,Illusion,natural environment appears to be another kind of terrain.,5
Heat Metal,Evocation,Make metal red hot.,5
Humanoid Form,Transmutation,Take the shape of a humanoid.,5
Hydraulic Push,Evocation,Damage and push a creature with a blast of water.,5
Illusory Creature,Illusion,Form a convincing illusion of a creature.,5
Illusory Object,Illusion,Form a convincing illusion of an object.,5
Invisibility Sphere,Illusion,You and creatures near you become invisible as you explore.,5
Lightning Bolt,Evocation,Lightning strikes all creatures in a line.,5
Locate,Divination,HLearn the direction to an object.,5
Magic Missile,Evocation,Pelt creatures with unerring bolts of magical force.,5
Negate Aroma,Abjuration,Suppress a creature’s scent.,5
Noxious Vapors,Evocation,Form a toxic cloud that poisons and sickens.,5
Personal Rain Cloud,Evocation,You conjure a 5-foot-wide rain cloud that follows the target wherever it goes.,5
Phantasmal Killer,Illusion,Place a fearsome image in a creature's mind to scare and possibly kill it.,5
Phantom Steed,Conjuration,Conjure a magical horse.,5
Pummeling Rubble,Evocation,Hurl a cone of rocks to batter creatures.,5
Rebounding Barrier,Abjuration,You swiftly raise a reflective barrier-- reducing physical damage and rebounding it onto your attacker.,5
Rime Slick,Evocation,You call down a chill wind.,5
