Name,Level,Price,Rarity,Traits,Category,Subcategory,Bulk
Light Mace,0,4 sp,Common,Agile Finesse Shove,Weapons,Base Weapons,L
Light Pick,0,4 sp,Common,Agile Fatal,Weapons,Base Weapons,L
Bola,0,5 sp,Common,Nonlethal Ranged Trip Thrown,Weapons,Base Weapons,L
Longspear,0,5 sp,Common,Reach,Weapons,Base Weapons,2
Main-gauche,0,5 sp,Common,Agile Disarm Finesse Parry Versatile,Weapons,Base Weapons,L
Scorpion Whip,0,5 sp,Uncommon,Disarm Finesse Reach Trip,Weapons,Base Weapons,L
Shears,0,5 sp,Uncommon,Deadly Finesse Versatile,Weapons,Base Weapons,L
Shield Boss,0,5 sp,Common,Attached,Weapons,Base Weapons,—
Shield Spikes,0,5 sp,Common,Attached,Weapons,Base Weapons,—
Kukri,0,6 sp,Uncommon,Agile Finesse Trip,Weapons,Base Weapons,L
Mambele,0,6 sp,Uncommon,Deadly Disarm Thrown,Weapons,Base Weapons,1
Sai,0,6 sp,Uncommon,Agile Disarm Finesse Monk Versatile,Weapons,Base Weapons,L
Machete,0,7 sp,Common,Deadly Sweep,Weapons,Base Weapons,L
Orc Knuckle Dagger,0,7 sp,Uncommon,Agile Disarm Orc,Weapons,Base Weapons,L
Pick,0,7 sp,Common,Fatal,Weapons,Base Weapons,1
Horsechopper,0,9 sp,Uncommon,Goblin Reach Trip Versatile,Weapons,Base Weapons,2
Nine-Ring Sword,0,9 sp,Uncommon,Disarm,Weapons,Base Weapons,1
Shortsword,0,9 sp,Common,Agile Finesse Versatile,Weapons,Base Weapons,L
Battle Axe,0,1 gp,Common,Sweep,Weapons,Base Weapons,1
Filcher's Fork,0,1 gp,Uncommon,Agile Backstabber Deadly Finesse Halfling Thrown,Weapons,Base Weapons,L
Flail,0,1 gp,Common,Disarm Sweep Trip,Weapons,Base Weapons,1
Gaff,0,1 gp,Common,Trip Versatile,Weapons,Base Weapons,1
Greatclub,0,1 gp,Common,Backswing Shove,Weapons,Base Weapons,2
Kama,0,1 gp,Uncommon,Agile Monk Trip,Weapons,Base Weapons,L
Lance,0,1 gp,Common,Deadly Jousting Reach,Weapons,Base Weapons,2
Longsword,0,1 gp,Common,Versatile,Weapons,Base Weapons,1
Mace,0,1 gp,Common,Shove,Weapons,Base Weapons,1
Morningstar,0,1 gp,Common,Versatile,Weapons,Base Weapons,1
Nightstick,0,1 gp,Uncommon,Agile Finesse Nonlethal Parry,Weapons,Base Weapons,L
Ogre Hook,0,1 gp,Uncommon,Deadly Trip,Weapons,Base Weapons,2
Scimitar,0,1 gp,Common,Forceful Sweep,Weapons,Base Weapons,1
Trident,0,1 gp,Common,Thrown,Weapons,Base Weapons,1
Wakizashi,0,1 gp,Uncommon,Agile Deadly Finesse Versatile,Weapons,Base Weapons,L
Warhammer,0,1 gp,Common,Shove,Weapons,Base Weapons,1
Fighting Fan,0,1.1 gp,Uncommon,Agile Backstabber Deadly Finesse Monk,Weapons,Base Weapons,L
Fauchard,0,1.4 gp,Common,Deadly Reach Sweep Trip,Weapons,Base Weapons,2
Bladed Diabolo,0,2 gp,Uncommon,Backswing Disarm Finesse Thrown Trip,Weapons,Base Weapons,L
Clan Dagger,0,2 gp,Uncommon,Agile Dwarf Parry Versatile,Weapons,Base Weapons,L
Claw Blade,0,2 gp,Uncommon,Agile Catfolk Deadly Disarm Finesse Versatile,Weapons,Base Weapons,L
Glaive,0,2 gp,Common,Deadly Forceful Reach,Weapons,Base Weapons,2
Gnome Hooked Hammer,0,2 gp,Uncommon,Gnome Trip Two-Hand Versatile,Weapons,Base Weapons,1
Greataxe,0,2 gp,Common,Sweep,Weapons,Base Weapons,2
Greatpick,0,2 gp,Common,Fatal,Weapons,Base Weapons,2
Greatsword,0,2 gp,Common,Versatile,Weapons,Base Weapons,2
Guisarme,0,2 gp,Common,Reach Trip,Weapons,Base Weapons,2
Halberd,0,2 gp,Common,Reach Versatile,Weapons,Base Weapons,2
Katana,0,2 gp,Uncommon,Deadly Two-Hand Versatile,Weapons,Base Weapons,1
Khakkara,0,2 gp,Uncommon,Shove Two-Hand Versatile,Weapons,Base Weapons,1
Khopesh,0,2 gp,Uncommon,Trip,Weapons,Base Weapons,1
Orc Necksplitter,0,2 gp,Uncommon,Forceful Orc Sweep,Weapons,Base Weapons,1
Ranseur,0,2 gp,Common,Disarm Reach,Weapons,Base Weapons,2
Rapier,0,2 gp,Common,Deadly Disarm Finesse,Weapons,Base Weapons,1
Scythe,0,2 gp,Common,Deadly Trip,Weapons,Base Weapons,2
Starknife,0,2 gp,Common,Agile Deadly Finesse Thrown Versatile,Weapons,Base Weapons,L
Temple Sword,0,2 gp,Uncommon,Monk Trip,Weapons,Base Weapons,1
Urumi,0,2 gp,Uncommon,Deadly Sweep,Weapons,Base Weapons,2
War Flail,0,2 gp,Common,Disarm Sweep Trip,Weapons,Base Weapons,2
Bladed Hoop,0,2.5 gp,Uncommon,Finesse Sweep Two-Hand,Weapons,Base Weapons,1
Bladed Scarf,0,3 gp,Uncommon,Disarm Reach Sweep Trip,Weapons,Base Weapons,1
Crossbow,0,3 gp,Common,—,Weapons,Base Weapons,1
Dwarven War Axe,0,3 gp,Uncommon,Dwarf Sweep Two-Hand,Weapons,Base Weapons,2
Falchion,0,3 gp,Common,Forceful Sweep,Weapons,Base Weapons,2
Gnome Flickmace,0,3 gp,Uncommon,Gnome Reach,Weapons,Base Weapons,2
Hand Crossbow,0,3 gp,Common,—,Weapons,Base Weapons,L
Maul,0,3 gp,Common,Shove,Weapons,Base Weapons,2
Meteor Hammer,0,3 gp,Common,Backswing Disarm Reach Trip,Weapons,Base Weapons,2
Naginata,0,3 gp,Uncommon,Deadly Reach Versatile,Weapons,Base Weapons,2
Shortbow,0,3 gp,Common,Deadly,Weapons,Base Weapons,1
Spiked Chain,0,3 gp,Uncommon,Disarm Finesse Trip,Weapons,Base Weapons,1
Bastard Sword,0,4 gp,Common,Two-Hand,Weapons,Base Weapons,1
Elven Curve Blade,0,4 gp,Uncommon,Elf Finesse Forceful,Weapons,Base Weapons,2
Heavy Crossbow,0,4 gp,Common,—,Weapons,Base Weapons,2
Rhoka Sword,0,4 gp,Uncommon,Deadly Two-Hand,Weapons,Base Weapons,2
Tengu Gale Blade,0,4 gp,Uncommon,Agile Disarm Finesse Tengu,Weapons,Base Weapons,L
Aklys,0,5 gp,Uncommon,Ranged Trip Tethered Thrown Trip,Weapons,Base Weapons,1
Fire Poi,0,5 gp,Uncommon,Agile Backswing Finesse Twin,Weapons,Base Weapons,L
Halfling Sling Staff,0,5 gp,Uncommon,Halfling Propulsive,Weapons,Base Weapons,1
Sawtooth Saber,0,5 gp,Uncommon,Agile Finesse Twin,Weapons,Base Weapons,L
Sword Cane,0,5 gp,Common,Agile Concealable Finesse,Weapons,Base Weapons,1
Longbow,0,6 gp,Common,Deadly Volley,Weapons,Base Weapons,2
Daikyu,0,8 gp,Uncommon,—,Weapons,Base Weapons,2
Composite Shortbow,0,14 gp,Common,Deadly Propulsive,Weapons,Base Weapons,1
Composite Longbow,0,20 gp,Common,Deadly Propulsive Volley,Weapons,Base Weapons,2
Alchemical Crossbow,0,25 gp,Uncommon,Alchemical,Weapons,Base Weapons,1
Alcohol,0,1 cp,Common,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Bloodeye Coffee,0,5 sp,Common,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Flayleaf,0,1 gp,Common,Alchemical Consumable Drug Ingested Inhaled Poison,Alchemical Items,Drugs,L
Tindertwig,1,2 sp,Common,Alchemical Consumable Fire,Alchemical Items,Alchemical Tools,—
Addiction Suppressant (Lesser),1,2 gp,Rare,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Lock (Simple),1,2 gp,Common,—,Adventuring Gear,—,—
Refined Pesh,1,2 gp,Common,Alchemical Consumable Drug Ingested Inhaled Poison,Alchemical Items,Drugs,L
Snake Oil,1,2 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Acid Flask (Lesser),1,3 gp,Common,Acid Alchemical Bomb Consumable Splash,Alchemical Items,Alchemical Bombs,L
Alarm Snare,1,3 gp,Common,Auditory Consumable Mechanical Snare Trap,Snares,—,—
Alchemist's Fire (Lesser),1,3 gp,Common,Alchemical Bomb Consumable Fire Splash,Alchemical Items,Alchemical Bombs,L
Antidote (Lesser),1,3 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Antiplague (Lesser),1,3 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Arsenic,1,3 gp,Common,Alchemical Consumable Ingested Poison,Alchemical Items,Alchemical Poisons,L
Blight Bomb (Lesser),1,3 gp,Common,Alchemical Bomb Consumable Poison Splash,Alchemical Items,Alchemical Bombs,L
Blindpepper Tube,1,3 gp,Uncommon,Alchemical Consumable Visual,Alchemical Items,Alchemical Tools,L
Bottled Lightning (Lesser),1,3 gp,Common,Alchemical Bomb Consumable Electricity Splash,Alchemical Items,Alchemical Bombs,L
Caltrop Snare,1,3 gp,Common,Consumable Mechanical Snare Trap,Snares,—,—
Cheetah's Elixir (Lesser),1,3 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Dread Ampoule (Lesser),1,3 gp,Common,Alchemical Bomb Consumable Emotion Fear Mental Poison Splash,Alchemical Items,Alchemical Bombs,L
Dust Pods,1,3 gp,Uncommon,Consumable Mechanical Snare Trap,Snares,—,—
Elixir of Life (Minor),1,3 gp,Common,Alchemical Consumable Elixir Healing,Alchemical Items,Alchemical Elixirs,L
Feather Token (Ladder),1,3 gp,Common,Conjuration Consumable Magical,Consumables,Other Consumables,—
Forensic Dye,1,3 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Frost Vial (Lesser),1,3 gp,Common,Alchemical Bomb Cold Consumable Splash,Alchemical Items,Alchemical Bombs,L
Gecko Potion,1,3 gp,Common,Consumable Magical Potion Transmutation,Consumables,Potions,L
Ghost Charge (Lesser),1,3 gp,Common,Alchemical Bomb Consumable Positive Splash,Alchemical Items,Alchemical Bombs,L
Ghost Ink,1,3 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Grolna,1,3 gp,Uncommon,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Hampering Snare,1,3 gp,Common,Consumable Mechanical Snare Trap,Snares,—,—
Holy Water,1,3 gp,Common,Consumable Divine Good Splash,Consumables,Other Consumables,L
Lastwall Soup,1,3 gp,Uncommon,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Leaper's Elixir (Lesser),1,3 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Manacles (Simple),1,3 gp,Common,—,Adventuring Gear,—,—
Marking Snare,1,3 gp,Common,Consumable Mechanical Snare Trap,Snares,—,—
Nectar of Purification,1,3 gp,Common,Consumable Magical Necromancy Oil,Consumables,Oils,L
Owlbear Claw,1,3 gp,Common,Consumable Evocation Magical Talisman,Consumables,Talismans,—
Peshpine Grenade (Lesser),1,3 gp,Uncommon,Alchemical Bomb Consumable Splash,Alchemical Items,Alchemical Bombs,L
Potion of Expeditious Retreat,1,3 gp,Common,Consumable Magical Potion Transmutation,Consumables,Potions,L
Predictable Silver Piece,1,3 gp,Common,Divination Magical,Held Items,—,—
Ration Tonic,1,3 gp,Common,Conjuration Consumable Magical Potion,Consumables,Potions,L
Runestone,1,3 gp,Common,Consumable Magical,Consumables,Other Consumables,L
Shining Ammunition,1,3 gp,Common,Consumable Evocation Light Magical,Consumables,Ammunition,—
Signaling Snare,1,3 gp,Common,Consumable Mechanical Snare Trap,Snares,—,—
Smokestick (Lesser),1,3 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Spear Frog Poison,1,3 gp,Common,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Spike Snare,1,3 gp,Common,Consumable Mechanical Snare Trap,Snares,—,—
Sunrod,1,3 gp,Common,Alchemical Consumable Light,Alchemical Items,Alchemical Tools,L
Tanglefoot Bag (Lesser),1,3 gp,Common,Alchemical Bomb Consumable,Alchemical Items,Alchemical Bombs,L
Thunderstone (Lesser),1,3 gp,Common,Alchemical Bomb Consumable Sonic Splash,Alchemical Items,Alchemical Bombs,L
Unholy Water,1,3 gp,Common,Consumable Divine Evil Splash,Consumables,Other Consumables,L
1st-Level Scroll,1,4 gp,Common,Consumable Magical Scroll,Consumables,Scrolls,L
Bestial Mutagen (Lesser),1,4 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Blood Sap,1,4 gp,Common,Alchemical Consumable Drug Ingested Poison,Alchemical Items,Drugs,L
Cognitive Mutagen (Lesser),1,4 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Drakeheart Mutagen (Lesser),1,4 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Eagle Eye Elixir (Lesser),1,4 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Energy Mutagen (Lesser),1,4 gp,Uncommon,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Giant Centipede Venom,1,4 gp,Common,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Healing Potion (Minor),1,4 gp,Common,Consumable Healing Magical Necromancy Potion,Consumables,Potions,L
Juggernaut Mutagen (Lesser),1,4 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Oil of Unlife (Minor),1,4 gp,Common,Consumable Magical Necromancy Negative Oil,Consumables,Oils,L
Potency Crystal,1,4 gp,Common,Consumable Evocation Magical Talisman,Consumables,Talismans,—
Potion of Retaliation (Minor),1,4 gp,Common,Consumable Evocation Magical Potion,Consumables,Potions,L
Potion of Shared Memories,1,4 gp,Common,Consumable Divination Magical Mental Potion,Consumables,Potions,L
Quicksilver Mutagen (Lesser),1,4 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Serene Mutagen (Lesser),1,4 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Shielding Salve,1,4 gp,Common,Abjuration Consumable Magical Oil,Consumables,Oils,L
Silvertongue Mutagen (Lesser),1,4 gp,Common,Alchemical Consumable Elixir Mutagen Polymorph,Alchemical Items,Alchemical Elixirs,L
Vaccine (Minor),1,4 gp,Rare,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Wolf Fang,1,4 gp,Common,Consumable Evocation Magical Talisman,Consumables,Talismans,—
Dwarven Daisy (Lesser),1,6 gp,Uncommon,Alchemical Bomb Consumable Fire Splash,Alchemical Items,Alchemical Bombs,L
Aeon Stone (Dull Gray),1,9 gp,Uncommon,Invested Magical Transmutation,Worn Items,Other Worn Items,—
Polytool,1,10 gp,Uncommon,Agile Modular,Weapons,Base Weapons,1
Scrollstaff,1,12 gp,Uncommon,Magical Transmutation,Weapons,Specific Magic Weapons,1
Slippery Ribbon,1,12 gp,Uncommon,Consumable Magical Talisman Transmutation,Consumables,Talismans,—
Walking Cauldron,1,12 gp,Common,Invested Magical Transmutation,Other,Magic Pots,4
Splint Mail,1,13 gp,Common,—,Armor,Base Armor,3
Everburning Torch,1,15 gp,Common,Evocation Light Magical,Held Items,—,L
Ring of Discretion,1,15 gp,Uncommon,Illusion Invested Magical Visual,Worn Items,Other Worn Items,—
Half Plate,1,18 gp,Common,—,Armor,Base Armor,3
Aldori Dueling Sword,1,20 gp,Uncommon,Finesse Versatile,Weapons,Base Weapons,1
Wagon,1,25 gp,Common,—,Vehicles,—,L
Sleigh,1,50 gp,Common,—,Vehicles,—,L
Belladonna,2,5 gp,Common,Alchemical Consumable Ingested Poison,Alchemical Items,Alchemical Poisons,L
Black Smear Poison,2,5 gp,Uncommon,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Flare Snare,2,5 gp,Common,Consumable Mechanical Snare Trap Visual,Snares,—,—
Focus Cathartic (Lesser),2,5 gp,Common,Alchemical Consumable Elixir Healing,Alchemical Items,Alchemical Elixirs,L
Lovers' Ink,2,5 gp,Rare,Alchemical Consumable,Adventuring Gear,—,L
Sinew-Shock Serum (Lesser),2,5 gp,Common,Alchemical Consumable Elixir Healing,Alchemical Items,Alchemical Elixirs,L
Black Adder Venom,2,6 gp,Common,Alchemical Consumable Injury Poison,Alchemical Items,Alchemical Poisons,L
Bloodhound Mask (Lesser),2,6 gp,Common,Alchemical Consumable,Alchemical Items,Alchemical Tools,L
Darkvision Elixir (Lesser),2,6 gp,Common,Alchemical Consumable Elixir,Alchemical Items,Alchemical Elixirs,L
Feather Token (Holly Bush),2,6 gp,Common,Conjuration Consumable Magical,Consumables,Other Consumables,—
Hunter's Bane,2,6 gp,Common,Consumable Divination Magical Talisman,Consumables,Talismans,—
Infiltrator's Elixir,2,6 gp,Common,Alchemical Consumable Elixir Polymorph,Alchemical Items,Alchemical Elixirs,L
Jade Cat,2,6 gp,Common,Abjuration Consumable Magical Talisman,Consumables,Talismans,—
Looter's Lethargy,2,6 gp,Uncommon,Alchemical Consumable Contact Poison,Alchemical Items,Alchemical Poisons,L
