Name,School,Description,Level
Elemental Toss,Evocation,HWith a flick of your wrist-- you fling a chunk of your elemental matter at your foe.,1
Empty Inside,Abjuration,You inject a sliver of the void into your mind-- momentarily remaking it into a bleak and empty place.,1
Face in the Crowd,Illusion,HWhile in a crowd of roughly similar creatures-- your appearance becomes bland and nondescript.,1
Faerie Dust,Enchantment,HYou sprinkle magical dust in the spell’s area-- making those within easier to trick.,1
Fire Ray,Evocation,HA blazing band of fire arcs through the air.,1
Force Bolt,Evocation,HYou fire an unerring dart of force from your fingertips.,1
Forced Quiet,Abjuration,You quiet the target’s voice-- preventing it from giving away valuable secrets.,1
Genie's Veil,Abjuration,With a flourish-- you fulfill a creature's wish for protection-- bending reality to keep them from harm.,1
Glutton's Jaw,Necromancy,HYour mouth transforms into a shadowy maw bristling with pointed teeth.,1
Goodberry,Necromancy,HYou imbue the target berry with the bounty of nature-- allowing it to heal and sustain far beyond its normal capacity.,1
Gravity Weapon,Evocation,You build up gravitational force and funnel it into your blows-- leading to more powerful attacks with blade and bow alike.,1
Hand of the Apprentice,Evocation,You hurl a held melee weapon-- making a spell attack roll.,1
Heal Animal,Necromancy,HYou heal an animal’s wounds.,1
Heal Companion,Necromancy,HYou harness positive energy to heal your animal companion's wounds.,1
Healer's Blessing,Necromancy,HYour words bless a creature with an enhanced connection to positive energy.,1
Hurtling Stone,Evocation,HYou evoke a magical stone and throw it-- with your god’s presence guiding your aim.,1
Hymn of Healing,Necromancy,HYour divine singing mends wounds and provides a temporary respite from harm.,1
Hyperfocus,Divination,You sharpen a creature’s senses-- though more distant objects become hazy-- indistinct-- or muted to it.,1
Incendiary Aura,Evocation,HYou surround yourself with a combustible aura.,1
Jealous Hex,Necromancy,You draw forth a hag’s innate jealousy to deny a target its greatest attribute.,1
Ki Rush,Transmutation,Accelerated by your ki-- you move with such speed you become a blur.,1
Ki Strike,Transmutation,HYou focus your ki into magical attacks.,1
Lament,Enchantment,You let out your negative emotions in a guttural wail that shakes your enemies’ hearts.,1
Lay on Hands,Necromancy,HYour hands become infused with positive energy-- healing a living creature or damaging an undead creature with a touch.,1
Life Boost,Necromancy,You temporarily bolster the target's vitality.,1
Life Link,Necromancy,HYou forge a connection of life energy between you and your target-- distributing harm between both of you.,1
Lingering Composition,Enchantment,You add a flourish to your composition to extend its benefits.,1
Loremaster's Etude,Divination,You call upon your muse’s deep mysteries-- granting the target a greater ability to think and recall information.,1
Magic Hide,Abjuration,Your animal companion grows a thicker hide-- matted fur-- or a harder shell-- granting it a +1 status bonus to AC.,1
Magic's Vessel,Enchantment,A creature becomes a receptacle for pure magical energy sent by your deity.,1
Moonbeam,Evocation,HYou shine a ray of moonlight.,1
Needle of Vengeance,Enchantment,HA long-- jagged needle jabs into the target foe's psyche whenever it tries to attack a specifically forbidden creature.,1
Nymph's Token,Enchantment,HYou grant an ally a token of favor.,1
Oathkeeper's Insignia,Conjuration,A magical indicator assures a creature that you’ve upheld your end of a bargain.,1
Object Memory,Divination,By touching an object-- you draw forth the experience of those who created and used it.,1
Overstuff,Transmutation,Huge amounts of food and drink fill the target.,1
Parch,Evocation,Dry winds dehydrate a creature.,1
Perfected Mind,Abjuration,You meditate upon perfection to remove all distractions from your mind.,1
Phase Familiar,Abjuration,HYou draw upon your patron's power to momentarily shift your familiar from its solid-- physical form into an ephemeral version of itself shaped of mist.,1
Physical Boost,Transmutation,You temporarily improve the target’s physique.,1
Practice Makes Perfect,Divination,SGain a bonus on a failed skill check-- which may turn a failure into a success.,1
Protective Ward,Abjuration,You emanate a shimmering aura of protective magic.,1
Protector's Sacrifice,Abjuration,HYou protect your ally by suffering in their stead.,1
Pushing Gust,Conjuration,Giving the air a push-- you buffet the target with a powerful gust of wind.,1
Read Fate,Divination,You attempt to learn more about the target’s fate in the short term.,1
Redact,Transmutation,You strike mention of a specific name from one or more documents.,1
Savor the Sting,Enchantment,HYou inflict pain upon the target and revel in their anguish.,1
Scholarly Recollection,Divination,Speaking a short prayer as you gather your thoughts-- you’re blessed to find that your deity gave you just the right bit of information for your situation.,1
Sepulchral Mask,Divination,HYou manifest a supernatural funerary mask-- granting you a +1 status bonus to Will saving throws against emotion effects for 1 minute.,1
Share Burden,Abjuration,You shoulder some of your ally’s pain.,1
Snare Hopping,Conjuration,HYou may not have placed your snare in the right place-- but you can magically move it there.,1
Soothing Words,Enchantment,HYou attempt to calm the target by uttering soothing words in a calm and even tone.,1
Soul Siphon,Necromancy,HYou siphon off a portion of the target's soul to bolster your own vitality.,1
Splash of Art,Illusion,A deluge of colorful illusory paint-- tools-- or other symbols of art and artisanship drift down in the area.,1
Spray of Stars,Evocation,HYou fling a spray of tiny shooting stars-- dealing 1d4 fire damage.,1
Sudden Shift,Abjuration,You swiftly move from a dangerous spot and veil yourself.,1
Swarmsense,Divination,You extend your senses through a multitude of crawling and flying creatures.,1
Sweet Dream,Enchantment,With soothing song or tales-- you lull the target into an enchanting dream.,1
Tempest Surge,Evocation,HYou surround a foe in a swirling storm of violent winds-- roiling clouds-- and crackling lightning.,1
Tempest Touch,Evocation,HYour touch calls forth a churning mass of icy water that clings to your target-- dealing 1d4 bludgeoning damage and 1d4 cold damage.,1
Tentacular Limbs,Transmutation,HYour arms turn into long-- pliable tentacles-- increasing your reach when you’re delivering touch range spells and making unarmed Strikes with your arms.,1
Tidal Surge,Evocation,You call forth a tremendous wave to move the target either in a body of water or on the ground.,1
Touch of Corruption,Necromancy,HYou infuse the target with negative energy.,1
Touch of Obedience,Enchantment,Your imperious touch erodes the target’s willpower-- making it easier to control.,1
Touch of Undeath,Necromancy,HYou attack the target’s life force with undeath.,1
Undeath's Blessing,Necromancy,HYou instill within a creature the touch of the grave.,1
Unimpeded Stride,Transmutation,Nothing can hold you in place.,1
Veil of Confidence,Enchantment,You surround yourself in a veil of confidence.,1
Veil of Dreams,Enchantment,You draw the target into a drowsy state-- causing daydreams and sluggishness.,1
Vibrant Thorns,Transmutation,HYour body sprouts a coat of brambly thorns that harm those that strike you and thrive on life magic.,1
Waking Nightmare,Enchantment,You fill the creature’s mind with a terrifying vision out of its nightmares.,1
Warped Terrain,Illusion,HYou create illusory hazards that cover all surfaces in the area.,1
Weapon Surge,Evocation,Holding your weapon aloft-- you fill it with divine energy.,1
Wild Morph,Transmutation,HYou morph your body based on your training-- choosing one of the following effects based on your wild order feats.,1
Wild Shape,Transmutation,HYou infuse yourself with primal essence and transform yourself into another form.,1
Winter Bolt,Evocation,You fling a hollow icicle filled with winter’s wrath.,1
Withering Grasp,Necromancy,Your touch rots organic material and decays objects.,1
Word of Truth,Divination,You speak a statement you believe to be true and that is free of any attempt to deceive through twisting words-- omission-- and so on.,1
Zenith Star,Divination,You call a tiny star to orbit a creature in a sparkling halo before shooting up into the heavens-- where it marks the creature’s rough location.,1
Animal Feature,Transmutation,HWithout fully transforming your body-- you gain one animalistic feature-- which you select from the list below each time you Cast the Spell.,2
Hunter's Luck,Divination,You have a preternatural ability to remember details about your foes.,2
Invoke the Crimson Oath,Evocation,Unleash a blast of ruby light-- striking all before you.,2
Light of Revelation,Divination,Shed light-- granting a bonus to Perception.,2
Magic Warrior Aspect,Transmutation,Gain the speed and senses of your totem animal.,2
Magic Warrior Transformation,Transmutation,transform into your totem animal.,2
Perfect Strike,Divination,Reroll a missed unarmed strike.,2
Soothing Mist,Necromancy,HYou call forth a magical mist of positive energy that envelops a creature.,2
Sun Blade,Evocation,HLaunch a bolt of divine sunfire.,2
Vision of Weakness,Divination,You focus your gaze on a creature and gain a flash of divine insight into its nature.,2
Wholeness of Body,Necromancy,HYou focus your ki to heal yourself.,2
Aberrant Whispers,Enchantment,HYou utter phrases in an unknown tongue-- assaulting the minds of those nearby.,3
Access Lore,Divination,You sift through the multiverse's divine knowledge-- seeking out tidbits related to a particular subject.,3
Ancestral Defense,Abjuration,Your ancestor protects you against those who would bend your will.,3
Angelic Wings,Evocation,HWings of pure light spread out from your back-- granting you a fly Speed equal to your Speed.,3
Armor of Bones,Necromancy,HYou ossify your physical form-- mimicking the durability of bone.,3
Battlefield Persistence,Divination,You're difficult to remove from battle.,3
Beastmaster Trance,Divination,You enter a magical trance that allows you to perceive through the senses of the target companion.,3
Blinding Beauty,Enchantment,You channel the allure of your nymph bloodline into a terribly beautiful glance.,3
Deceiver's Cloak,Illusion,HYou wrap yourself in a cloak of illusion-- appearing as another creature of the same body shape with roughly similar height and weight as yourself.,3
Delay Affliction,Necromancy,HWith a surge of healing energy-- you push back against an affliction threatening the target and grant a small amount of healing.,3
Dragon Breath,Evocation,HYou spew draconic energy from your mouth.,3
Drain Life,Necromancy,HYou close your hand and pull life energy from another creature into yourself.,3
Electrified Crystal Ward,Evocation,HYou create an electric latch rune hazard on the target-- creating a special crystalline lock on the object.,3
Elemental Motion,Evocation,HYou call upon your element to propel you-- improving your Speed depending on your element.,3
Embrace the Pit,Transmutation,HDevil horns grow from your skull.,3
Ephemeral Tracking,Divination,You can look at currents in the air and water and see tracks that you can follow just as you would on land.,3
Extend Spell,Divination,You call upon your blood’s knowledge of the ancients to extend your magic.,3
Fey Disappearance,Enchantment,HYou become invisible and ignore natural difficult terrain.,3
Heart's Desire,Illusion,HYou surround your target with wondrous illusions of their greatest desires-- which distract them from reality.,3
Horrific Visage,Illusion,HYou briefly transform your features into the horrific visage of a hag-- striking fear into your enemies.,3
Interstellar Void,Evocation,HYou call upon the frigid depths of outer space to bring a terrible chill to your enemy.,3
Ki Blast,Evocation,HYou unleash your ki as a powerful blast of force.,3
Litany against Wrath,Evocation,HYour litany rails against the sin of wrath-- punishing the target for attacking good creatures.,3
Malicious Shadow,Evocation,HYou reshape the target's shadow into a deadly form-- such as strangling hands-- a dangerous weapon-- harrying runes-- or the like-- and command it to attack the target.,3
Personal Blizzard,Conjuration,HYou summon an isolated blizzard of obscuring-- scouring ice to follow your target.,3
Ranger's Bramble,Transmutation,HYou cause plants in the area to entangle your foes-- with the effects of entangle.,3
Spirit Veil,Illusion,HYou draw an occluding veil of spirits around yourself-- blocking yourself especially well from undead eyes.,3
Steal Shadow,Necromancy,HYou steal a creature's shadow-- leaving it weakened and vulnerable.,3
Sun's Fury,Evocation,The target weapon becomes wreathed in a glowing flame.,3
Swamp of Sloth,Conjuration,HGround in the area turns swampy and fetid.,3
Thunderburst,Evocation,HYou create a powerful blast of air and a loud peal of thunder-- dealing 2d6 bludgeoning damage and 2d6 sonic damage.,3
Unblinking Flame Revelation,Abjuration,Suppress illusions on your target.,3
Unbreaking Wave Advance,Evocation,HUnleash a blast of water to push back foes.,3
Unfolding Wind Rush,Evocation,HRun across the wind.,3
Untwisting Iron Buffer,Abjuration,HGain temporary hit points.,3
Whirling Flames,Evocation,HYou call forth a storm of whirling flames-- engulfing all creatures in that area and dealing 5d6 fire damage with a basic Reflex save.,3
Abundant Step,Conjuration,You move so fast you blur across planar boundaries.,4
Achaekek's Clutch,Necromancy,R You mark the holy symbol of Achaekek in a visible location on the target's body.,4
Adaptive Ablation,Abjuration,You shift yourself to adapt to the mystical wavelengths of the energy damage-- protecting yourself from further harm.,4
Artistic Flourish,Transmutation,HYou transform the target to make it match your artisanal and artistic vision.,4
Asterism,Evocation,Lines of burning starlight form a constellation around you.,4
Bottle the Storm,Evocation,When lightning is turned at you-- you store the charge safely within yourself-- unleashing it when the time is right.,4
Captivating Adoration,Enchantment,HYou become intensely entrancing-- and creatures are distracted by you as long as they remain within the area.,4
Clinging Shadows Stance,Evocation,You adopt the stance of clinging shadows.,4
Commanding Lash,Enchantment,With the threat of more pain-- you compel a creature you’ve recently harmed.,4
Competitive Edge,Enchantment,HYour competitiveness drives you to prove yourself against the opposition.,4
Darkened Eyes,Transmutation,You infuse a creature’s vision with darkness.,4
Debilitating Dichotomy,Evocation,HYou reveal a glimpse of the impossible conflicts between the divine anathema behind your curse-- forcing you to reckon with another's conflicts as well.,4
Delusional Pride,Enchantment,You make the target overconfident-- leading it to ascribe failure to external factors.,4
Destructive Aura,Evocation,HSwirling sands of divine devastation surround you-- weakening the defenses of all they touch.,4
Diamond Dust,Evocation,You supercool the nearby air-- forming a cloud of dancing ice crystals in an emanation around you.,4
Dimensional Steps,Conjuration,HYou teleport a short distance.,4
Disperse into Air,Transmutation,After taking the triggering damage-- you transform into air.,4
Door to Beyond,Conjuration,Striking at thin air-- you create hairline cracks in an unoccupied adjacent space that lead somewhere outside reality.,4
Downpour,Evocation,HYou call forth a torrential downpour-- which extinguishes non-magical flames.,4
Dread Aura,Enchantment,You emit an aura of terror.,4
Dreamer's Call,Enchantment,The target becomes distracted and suggestible-- inundated by vivid daydreams.,4
Dust Storm,Conjuration,You call forth a swirling storm of dust.,4
Dutiful Challenge,Abjuration,As you challenge an enemy-- you take some of its attention away from your allies.,4
Ectoplasmic Interstice,Necromancy,You force the Material and Ethereal Planes to partially overlap-- creating a zone that causes incorporeal and spiritual entities to take on many of the aspects of corporeal creatures.,4
Elemental Tempest,Evocation,Your spellcasting surrounds you in a storm of elemental energy.,4
Enduring Might,Abjuration,HYour own might mingles with divine power to protect you.,4
Energy Absorption,Abjuration,HYou quickly gain resistance to an energy type of your choice.,4
Enlarge Companion,Transmutation,Your animal companion grows much larger-- towering over its foes in battle.,4
Ephemeral Hazards,Illusion,You create illusory hazards-- such as spinning blades or a puddle of acid.,4
Eradicate Undeath,Necromancy,HA massive deluge of life energy causes the undead to fall apart.,4
Fallow Field,Necromancy,A sickly yellow light fills the area as entropic forces prevent healing.,4
Flame Barrier,Abjuration,HProtect yourself or an ally from fire.,4
Font of Serenity,Abjuration,A divine beacon radiates serenity-- soothing nearby allies.,4
Foul Miasma,Necromancy,You multiply the disease within a creature-- drawing it into an infectious mist outside their body where it can spread to other creatures.,4
Ghostly Transcription,Illusion,Glowing letters assemble in the air-- providing a transcription of the target’s speech in all languages you speak.,4
Glimpse the Truth,Divination,HDivine insight lets you see things as they truly are.,4
Inspire Heroics,Enchantment,You call upon your muse to greatly increase the benefits you provide to your allies with your inspire courage or inspire defense composition.,4
Invisibility Cloak,Illusion,HYou become invisible.,4
Know the Enemy,Divination,Use a Recall Knowledge action-- rolling the appropriate skill check to identify the triggering creature’s abilities.,4
Life Siphon,Necromancy,You use some of the spell’s magic to heal yourself.,4
Localized Quake,Transmutation,HYou shake the earth-- toppling nearby creatures.,4
Lucky Break,Divination,Reroll a failed saving throw and use the better result.,4
Malignant Sustenance,Necromancy,HYou embed a seed of negative energy in an undead creature-- restoring its unnatural vigor.,4
Mantis Form,Transmutation,Transform into a mantis battle form.,4
Mystic Beacon,Evocation,The next damaging or healing spell the target casts becomes more powerful.,4
Nature's Bounty,Conjuration,HA palm-sized raw fruit or vegetable appears in your open hand.,4
Overflowing Sorrow,Enchantment,Sadness flows out of you into nearby creatures-- blotting out any other thoughts they had.,4
Perfected Form,Abjuration,Reroll a failed saving throw against a morph-- petrification-- or polymorph effect.,4
Positive Luminance,Necromancy,HDrawing life force into yourself-- you become a beacon of positive energy.,4
Precious Metals,Transmutation,HYour deity blesses base metals to transform them into precious materials.,4
Protector's Sphere,Abjuration,HA protective aura emanates out from you-- safeguarding you and your allies.,4
Pulse of the City,Divination,HYou tap into the zeitgeist of the nearest settlement in range,4
Rebuke Death,Necromancy,HYou snatch creatures from the jaws of death.,4
Remember the Lost,Divination,You call upon the lost and forgotten-- assailing your foes’ minds with the memories of those who died with a grievance toward them.,4
Retributive Pain,Abjuration,You vengefully reflect your pain upon your tormentor.,4
Roar of the Wyrm,Enchantment,You channel the might of dragons into your voice-- letting out a roar that engenders respect in dragonkind but that instills fear in most other creatures.,4
Safeguard Secret,Abjuration,You ensure a secret remains safe from prying spies.,4
Shared Nightmare,Enchantment,Merging minds with the target-- you swap disorienting visions from one another’s nightmares.,4
Shifting Form,Transmutation,You morph to gain an ability of your choice.,4
Stasis,Transmutation,The flow of time congeals around an object or creature-- holding it in place.,4
Stormwind Flight,Transmutation,HPowerful winds carry you smoothly through the air-- giving you a fly Speed equal to your Speed.,4
Swarm Form,Transmutation,You discorporate into a swarm of Tiny creatures.,4
Take its Course,Necromancy,HWhen someone has overindulged-- you can hasten them past the worst of their affliction or intensify their misery.,4
Tempt Fate,Divination,HYou twist the forces of fate to make a moment dire or uneventful-- with no in-between.,4
Tireless Worker,Necromancy,S Temporarily suppress a negative condition.,4
Touch of the Moon,Enchantment,When you touch the target-- a symbol of the moon appears on its forehead-- glowing with soft moonlight.,4
Traveler's Transit,Evocation,HYou add power to your muscles-- allowing you to swim or climb walls with ease.,4
Trickster's Twin,Illusion,You rarely settle for being in just one place.,4
Unity,Abjuration,You put up a united defense.,4
Vigilant Eye,Divination,You create an invisible eye sensor-- as clairvoyance.,4
Wild Winds Stance,Evocation,You take on the stance of the flowing winds-- sending out waves of energy at a distance.,4
Word of Freedom,Enchantment,You utter a liberating word of power that frees a creature.,4
Zeal for Battle,Enchantment,You stoke the righteous anger within yourself and an ally.,4
Abyssal Wrath,Evocation,HYou evoke the energy of an Abyssal realm.,5
Arcane Countermeasure,Abjuration,You undermine the target spell-- making it easier to defend against.,5
Celestial Brand,Necromancy,HA blazing symbol appears on the target-- marking it for divine justice.,5
Consuming Darkness,Evocation,HYour shadow wriggles before spreading out from you-- forming a gateway of clinging-- consuming shadow through which the horrors of another plane can barely be seen.,5
Curse of Death,Necromancy,HYou focus your malevolent gaze on a target-- causing their heart to seize in dread.,5
Dance of Darkness,Evocation,You dance-- Striding up to half your Speed.,5
Dragon Wings,Transmutation,HDraconic wings sprout from your back.,5
Elemental Blast,Evocation,HYou gather elemental energy and blast your foes.,5
Establish Ward,Abjuration,HYou bind a part of your essence to your surroundings-- creating a warded area that grants you power within it-- but drains you outside of it.,5
Fey Glamour,Illusion,You call upon fey glamours to cloak an area or the targets in illusion.,5
Glacial Heart,Evocation,Ice and bone-deep cold assail the target-- freezing it from the inside out.,5
Grasping Grave,Necromancy,HHundreds of skeletal arms erupt from the ground in the area-- clawing at creatures within and attempting to hold them in place.,5
Hellfire Plume,Evocation,HYou call forth a plume of hellfire that erupts from below.,5
Hunter's Vision,Divination,Your target glows with a magical aura visible only to you and those who follow your lead.,5
Litany against Sloth,Evocation,Your litany rails against the sin of sloth-- interfering with the target’s ability to react.,5
Litany of Self-Interest,Enchantment,HYou give a speech that fills your target with a drive to improve themself to the exclusion of assisting others.,5
Ode to Ouroboros,Necromancy,Your ode temporarily staves off death.,5
Restorative Moment,Necromancy,You manipulate the threads of time around the target-- giving them some of the benefits of a day's passage.,5
Shadow Illusion,Illusion,You create a shadowy illusion of a creature or a stationary object-- but the illusion can exist only in an area of dim light or darkness.,5
Shadow Jump,Conjuration,You instantly transport yourself from one shadow to another.,5
Shall Not Falter-- Shall Not Rout,Necromancy,R Calling out the fifth line of the Crimson Oath-- you seal your most grievous injuries with a stroke of your blade.,5
Shepherd of Souls,Necromancy,HYou stay the hand of fate for one not yet destined to die-- sacrificing some of your own vitality to heal them.,5
Steal the Sky,Evocation,HSYou deny a flying creature the support of the air.,5
Symphony of the Unfettered Heart,Abjuration,HYour symphony lifts listeners from their worldly concerns.,5
Terrain Transposition,Conjuration,You mystically transpose your current location with another.,5
Unusual Anatomy,Transmutation,HYou transform your flesh and organs into a bizarre amalgam.,5
Wind Jump,Transmutation,HYou gain a fly Speed equal to your Speed.,5
Wish-Twisted Form,Transmutation,HYou focus your magic upon an enemy-- wishing for their defenses to fail and turning their strengths into weaknesses.,5
You're Mine,Enchantment,HYou manipulate the target’s emotions-- potentially allowing you to control it for a brief instant.,5
Ancestral Form,Transmutation,HYou take the form of your ancestral spirits-- becoming invisible and quasi-corporeal.,6
Champion's Sacrifice,Abjuration,You form a link with an ally-- allowing you to take harm in their stead.,6
Claim Undead,Necromancy,You attempt to wrest control of a target undead or force it to recognize you as its master.,6
Dread Secret,Divination,You utter a powerful secret at odds with the fundamental nature of the target creatures.,6
Flaming Fusillade,Evocation,HYou call upon an endless barrage of flames-- producing miniature fireballs in your hands to hurl at foes.,6
Heroic Feat,Divination,You gain the ability to perform a specialized combat technique from the vast wealth of martial knowledge your mystery provides.,6
Life-Giving Form,Necromancy,HYou transcend your physical form-- becoming a beacon of healing energy.,6
Moonlight Bridge,Conjuration,HYou summon a bridge of radiant-- shimmering moonlight.,6
Primal Summons,Conjuration,You enhance a summoned creature with the power of the elements.,6
Speaking Sky,Divination,SThe air speaks to you.,6
Tempest Form,Transmutation,HYour body becomes fluid to better suit your surroundings.,6
Litany of Depravity,Evocation,HYour litany calls into question the morals your foe claims to hold dear.,7
Litany of Righteousness,Evocation,HYour litany denounces an evildoer-- rendering it susceptible to the powers of good.,7
Shadow's Web,Evocation,HGrasping darkness surges from you-- dealing 14d4 negative damage.,7
Soothing Ballad,Enchantment,HYou draw upon your muse to soothe your allies.,7
Impaling Briars,Conjuration,The ground within the area transforms into a mass of dangerous briars that assault and impede your foes.,8
Medusa's Wrath,Transmutation,You make an attack filled with a medusa's petrifying power.,8
Quivering Palm,Necromancy,HYour strikes can kill foes with a precise and powerful strike.,8
Empty Body,Conjuration,You turn ethereal-- with the effects of ethereal jaunt-- but you don’t need to concentrate.,9
Storm Lord,Evocation,The sky above you darkens in a matter of moments-- swirling with ominous clouds punctuated by flashes of lighting.,9
